question,chunk_id
What are the warning signs of an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-1
When should I get urgent medical help for symptoms of an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-1
"What are the symptoms of an abdominal aortic aneurysm, and how would I know if I need urgent medical help?",abdominal-aortic-aneurysm-2
"Am I at higher risk of getting an abdominal aortic aneurysm because of my age, smoking, or high blood pressure?",abdominal-aortic-aneurysm-2
"Could abdominal aortic aneurysm cause pain or a pulsing feeling in my tummy, and should I get it checked?",abdominal-aortic-aneurysm-3
"Is sudden severe abdominal pain a sign that an aneurysm has ruptured, and should I call 999 straight away?",abdominal-aortic-aneurysm-3
What causes an abdominal aortic aneurysm to develop?,abdominal-aortic-aneurysm-4
"Am I at higher risk of an aortic aneurysm if I smoke, have high blood pressure or a family history of it?",abdominal-aortic-aneurysm-4
How is an abdominal aortic aneurysm diagnosed if it does not usually cause symptoms?,abdominal-aortic-aneurysm-5
What tests might my doctor use if they suspect I have an AAA?,abdominal-aortic-aneurysm-5
What treatment is usually recommended if a large abdominal aortic aneurysm is found before it ruptures?,abdominal-aortic-aneurysm-6
Are there any non-surgical options to reduce the risk of an abdominal aortic aneurysm rupturing?,abdominal-aortic-aneurysm-6
How can I reduce my risk of developing an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-7
What lifestyle changes can help stop an abdominal aortic aneurysm from getting bigger or rupturing?,abdominal-aortic-aneurysm-7
Am I eligible for screening for an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-8
How is abdominal aortic aneurysm screening done and what happens if it finds a problem?,abdominal-aortic-aneurysm-8
Could a pulsating feeling in my stomach near my belly button be a sign of an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-9
When should I see a GP about persistent back pain or abdominal pain that might be related to an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-9
"Could sudden severe pain in my abdomen, dizziness, and feeling faint mean my aortic aneurysm has ruptured?",abdominal-aortic-aneurysm-10
"If I have abdominal pain with sweating, a rapid heartbeat, and shortness of breath, when should I seek emergency help?",abdominal-aortic-aneurysm-10
What should I do if I think I or someone I’m caring for has a ruptured abdominal aortic aneurysm?,abdominal-aortic-aneurysm-11
When is abdominal pain or collapse after an aortic aneurysm an emergency that needs a 999 call?,abdominal-aortic-aneurysm-11
What causes an abdominal aortic aneurysm to develop?,abdominal-aortic-aneurysm-12
How does a weak spot in the aorta wall lead to an aneurysm?,abdominal-aortic-aneurysm-12
Am I at higher risk of an abdominal aortic aneurysm because of my age or sex?,abdominal-aortic-aneurysm-13
How much does smoking increase the risk of getting an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-13
Does smoking increase the risk of developing an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-14
"If I smoke more than 20 cigarettes a day, how much higher is my risk of an abdominal aortic aneurysm?",abdominal-aortic-aneurysm-14
How does atherosclerosis increase the risk of developing an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-15
What lifestyle changes can help lower my risk of atherosclerosis and an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-15
Can high blood pressure increase my risk of an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-16
"If I have high blood pressure, what should I do to lower the strain on my aorta?",abdominal-aortic-aneurysm-16
Does having a family history of abdominal aortic aneurysm mean I'm at higher risk?,abdominal-aortic-aneurysm-17
"If my brother or sister had an abdominal aortic aneurysm, should I get checked too?",abdominal-aortic-aneurysm-17
How is an abdominal aortic aneurysm usually diagnosed if it often causes no symptoms?,abdominal-aortic-aneurysm-18
What tests are used to confirm an abdominal aortic aneurysm and check its size?,abdominal-aortic-aneurysm-18
I’m a man over 65 and haven’t been offered an abdominal aortic aneurysm screening scan yet — how can I get one?,abdominal-aortic-aneurysm-19
"Do I need screening for an abdominal aortic aneurysm if I’m 65 or older, and what does the ultrasound scan involve?",abdominal-aortic-aneurysm-19
"If I’ve been told I have an abdominal aortic aneurysm, how do I know whether I need surgery or regular scans?",abdominal-aortic-aneurysm-20
What can I do to help slow the growth of an abdominal aortic aneurysm and lower the risk of it rupturing?,abdominal-aortic-aneurysm-20
"If my abdominal aortic aneurysm is 5.5cm or larger, what treatment options are available to me?",abdominal-aortic-aneurysm-21
How will the surgeon decide whether endovascular surgery or open surgery is best for my large AAA?,abdominal-aortic-aneurysm-21
"What is endovascular surgery for an abdominal aortic aneurysm, and how is it done?",abdominal-aortic-aneurysm-22
What are the risks and recovery time after endovascular surgery compared with open surgery?,abdominal-aortic-aneurysm-22
What does open surgery for an abdominal aortic aneurysm involve?,abdominal-aortic-aneurysm-23
What are the risks and recovery time after open surgery?,abdominal-aortic-aneurysm-23
"If I have a small or medium abdominal aortic aneurysm, how often will I need follow-up scans?",abdominal-aortic-aneurysm-24
What can I do to help stop my abdominal aortic aneurysm from getting bigger?,abdominal-aortic-aneurysm-24
What emergency treatment is used to repair a ruptured abdominal aortic aneurysm?,abdominal-aortic-aneurysm-25
How do doctors decide between open surgery and endovascular surgery for a ruptured AAA?,abdominal-aortic-aneurysm-25
How can I reduce my risk of developing an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-26
What lifestyle changes or treatments can help stop an aneurysm from getting bigger?,abdominal-aortic-aneurysm-26
Does smoking increase my risk of getting an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-27
"If I smoke, how can I get help to stop and lower my risk?",abdominal-aortic-aneurysm-27
How can my diet affect my risk of an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-28
